ID,Driving Distance (meters),Walking Distance (meters),Time to Find Parking (minutes),Parking Space Size (0-10),Parking Difficulty,Near Elevator,Has Surveillance,Parking Fee (CNY/hour),Parking Type,Longitude,Latitude
1,402,635,12,6,中等,是,是,12.18,商场,119.286002,26.046097
2,387,572,8,7,困难,是,否,12.96,商场,119.285774,26.085458
3,713,585,9,6,中等,否,是,10.13,商场,119.295424,26.113404
4,774,258,14,7,中等,是,是,10.05,商场,118.936027,25.863703
5,1757,862,16,4,困难,否,是,10.46,交通枢纽,119.391489,25.985828
6,966,573,13,4,困难,否,是,19.66,交通枢纽,119.485258,25.924627
7,864,539,11,7,困难,是,否,11.47,商场,119.31689,25.702519
8,861,587,6,7,中等,否,是,11.64,商场,119.31689,25.702519
9,1201,855,11,5,困难,否,否,18.95,交通枢纽,119.391213,25.986535
10,264,261,1,9,容易,否,是,4.63,其他,119.277573,26.071108
11,1876,516,18,4,困难,是,否,18.02,交通枢纽,119.384978,25.675541
12,1952,947,17,6,困难,否,是,18.15,交通枢纽,119.673224,25.930076
13,338,270,2,8,容易,否,否,6.26,其他,119.669483,25.915188
14,317,42,4,8,容易,否,否,4.55,其他,119.391784,25.989456
15,1171,746,5,6,困难,否,否,8.84,商场,119.295424,26.113404
16,304,292,1,8,容易,是,是,5.14,其他,119.389051,25.982646
17,112,240,1,9,容易,否,是,5.82,其他,118.588278,25.804954
18,280,246,3,8,容易,否,否,4.02,其他,119.807744,25.49812
19,542,285,6,7,困难,否,否,13.66,商场,119.594291,26.469527
20,919,755,8,7,中等,是,是,14.18,商场,118.760849,25.833564
21,530,389,5,6,中等,是,否,9.6,商场,119.286002,26.046097
22,308,207,4,8,容易,是,是,5.09,其他,118.588278,25.804954
23,221,161,3,8,容易,否,否,4.62,其他,119.286566,26.0158
24,162,61,4,9,容易,否,是,6.48,其他,119.759652,25.439035
25,380,312,6,7,中等,是,是,10.88,商场,119.188009,26.080173
26,702,329,9,7,中等,否,是,11.13,商场,119.561098,26.486088
27,1002,483,10,6,困难,否,否,18.03,交通枢纽,119.392466,25.987763
28,810,343,5,6,困难,是,是,10.25,商场,119.594291,26.469527
29,1063,602,14,6,中等,是,是,13.67,商场,119.545377,26.20916
30,939,750,6,7,中等,是,是,8.96,商场,119.285774,26.085458
31,347,108,3,9,容易,否,否,3.87,其他,119.345069,26.087976
32,1180,201,5,7,中等,否,否,14.76,商场,119.384726,25.719127
33,308,432,7,6,困难,否,否,13.08,商场,119.3988,26.017593
34,972,786,5,7,困难,否,是,13.5,商场,119.312931,26.037188
35,809,672,7,6,困难,是,是,8.04,商场,119.35429,26.099228
36,212,217,1,8,容易,是,是,3.88,其他,119.286566,26.0158
37,1115,703,12,6,中等,是,是,13.05,商场,118.936027,25.863703
38,71,247,2,9,容易,否,否,7.89,其他,119.759652,25.439035
39,76,235,1,9,容易,否,否,6.23,其他,119.67545,25.931747
40,1128,715,7,7,中等,是,否,12.52,商场,119.35429,26.099228
41,345,572,10,6,困难,否,是,13.23,商场,119.366902,25.991698
42,480,298,5,7,困难,是,否,10.06,商场,119.357373,26.047767
43,372,137,2,8,容易,否,否,4.97,其他,119.67545,25.931747
44,985,487,10,6,中等,否,否,8.98,商场,119.3988,26.017593
45,153,255,4,8,容易,否,否,4.47,其他,119.870047,25.549897
46,707,724,14,6,困难,否,是,11.51,商场,119.540124,26.196733
47,699,670,6,7,困难,否,是,11.07,商场,119.49406,25.94259
48,1374,489,15,5,困难,是,是,18.6,交通枢纽,119.31958,26.112768
